constant-key | english-value | translated-value
CANNOT_EDIT_PERFORMANCE_MESSAGE                          | - INVALID edit. Value does not exist for '{0}'. 'Edit' button should only be used to correct errors. Please use '{words-update}' button above when setting Times.  | - INVALID edit. Value does not exist for '{0}'. 'Edit' button should only be used to correct errors. Please use '{words-update}' button above when setting Times.
IS_REQUIRED_MESSAGE                                      | '{0}' is required. | '{0}' is required.
NOT_FOUND_MESSAGE                                        | with {0} '{1}' not found | with {0} '{1}' not found
CHANGE_NOT_ALLOWED_WHEN_EVENT_HAS_STARTED_MESSAGE        | changes are not allowed after {entities-participation-plurals} have started | changes are not allowed after {entities-participation-plurals} have started
REQUIRED_INSPECTION_IS_NOT_ALLOWED_ON_FINAL_MESSAGE      | CRI is not allowed on Final stage | CRI is not allowed on Final stage
INVALID_ORDER_BY_MESSAGE                                 | with order '{0}' already exists | with order '{0}' already exists
INVALID_COMPETITION_NO_FINAL_PHASE_MESSAGE               | {0} has no final {entities-lap} | {0} has no final {entities-lap}
INVALID_PARTICIPANT_NO_PARTICIPATIONS_MESSAGE            | '{0}' is not included in any {entities-competition} | '{0}' is not included in any {entities-competition}
INVALID_PARTICIPANT_NO_COUNTRY_MESSAGE                   | '{0}' has no {entities-country} | '{0}' has no {entities-country}
PARTICIPANT_HAS_NO_ACTIVE_PERFORMANCE_MESSAGE            | '{0}' has no active {entities-performance} | '{0}' has no active {entities-performance}
INVALID_FULL_NAME_MESSAGE                                | Full Name '{0}' is INVALID. Please use First and Last name | Full Name '{0}' is INVALID. Please use First and Last name
SELECT_WORK_DIRECTORY_MESSAGE                            | Select working directory using the {words-select-directory} button above. | Select working directory using the {words-select-directory} button above.
REMOVE_CONFIRMATION_MESSAGE                              | Are you sure you want to remove this item | Are you sure you want to remove this item
INVALID_DATE_FORMAT_MESSAGE                              | Invalid date: '{0}'. Expected format: '{1}' | Invalid date: '{0}'. Expected format: '{1}'
UNSUPPORTED_IMPORT_FILE_MESSAGE                          | Unsupported file. Please use '{0}' or '{1}' | Unsupported file. Please use '{0}' or '{1}'
NOT_FOUND_BY_ID_MESSAGE                                  | with ID '{0}' not found | with ID '{0}' not found
PARTICIPATION_HAS_ENDED_MESSAGE                          | is complete and could not be updated | is complete and could not be updated
COMPETITION_CANNOT_START_WITHOUT_PHASES_MESSAGES         | '{0}' cannot start without {entities-lap-plurals} | '{0}' cannot start without {entities-lap-plurals}
PARTICIPANTS_CANNOT_BE_IMPORTED_MESSAGE                  | cannot be imported - no {entities-horse-plurals} or {entities-athlete-plurals} | cannot be imported - no {entities-horse-plurals} or {entities-athlete-plurals}
UNEXPECTED_ERROR_MESSAGE                                 | Unexpected error occured. Log file '{0}' has been created. Please contact the developer and send them the file | Unexpected error occured. Log file '{0}' has been created. Please contact the developer and send them the file
PARTICIPANT_CANNOT_FTQ_WITHOUT_REASON_MESSAGE            | cannot be recorded as '{0}' without a reason | cannot be recorded as '{0}' without a reason
PARTICIPATION_IS_DISQUALIFIED                            | '{0}' is disqualified | '{0}' is disqualified
